group1,group2,meandiff,p-adj,lower,upper,reject
1,12,-42134515.2975,0.0031,-76186295.5322,-8082735.0628,True
1,8,-53849017.6252,0.0,-87687833.7718,-20010201.4785,True
1,9,-38677335.0596,0.0123,-72972864.704,-4381805.4151,True
10,12,-41687469.8283,0.0026,-75057996.1788,-8316943.4778,True
10,8,-53401972.1559,0.0,-86555158.5784,-20248785.7335,True
10,9,-38230289.5904,0.011,-71849505.0088,-4611074.1719,True
11,8,-44234998.8064,0.0011,-77924577.5847,-10545420.0281,True
12,2,53499656.6373,0.0,18998324.9676,88000988.3071,True
2,5,-41138103.7126,0.0066,-76026195.1859,-6250012.2392,True
2,7,-43998479.9404,0.0023,-78950589.9851,-9046369.8956,True
2,8,-65214158.965,0.0,-99505318.5843,-30922999.3456,True
2,9,-50042476.3994,0.0002,-84784403.5685,-15300549.2303,True
3,8,-36479264.7861,0.0169,-69632451.2086,-3326078.3636,True
4,8,-36431038.354,0.0245,-70559305.9641,-2302770.7438,True
6,8,-34857847.5657,0.0359,-68632157.1909,-1083537.9404,True
